Date,Expense Category,Amount
01/12/2021,Vehicle Lease,729.43
22/07/2021,Salaries & Benefits,804.36
06/10/2020,Rent,1451.28
14/03/2020,Office Supplies,1645.84
16/07/2019,Fuel,812.67
22/01/2021,Rent,1170.04
07/01/2022,Fuel,406.12
18/05/2019,Salaries & Benefits,369.14
23/07/2020,Fuel,1169.65
21/02/2019,Rent,530.21
13/08/2022,Office Supplies,1567.50
30/07/2019,Vehicle Lease,939.67
02/03/2022,Utilities,969.88
09/05/2019,Rent,269.51
16/01/2022,Office Supplies,659.10
19/07/2021,Utilities,1674.74
15/02/2021,Meals & Entertainment,428.04
07/12/2019,Utilities,1340.86
06/05/2019,Vehicle Lease,1258.56
17/01/2019,Fuel,782.88
15/08/2021,Vehicle Lease,416.07
08/07/2020,Fuel,1688.64
23/08/2022,Fuel,888.27
25/10/2021,Meals & Entertainment,1774.43
20/10/2022,Meals & Entertainment,1560.35
29/08/2021,Utilities,1589.55
29/09/2022,Utilities,1476.47
12/09/2019,Rent,228.60
16/10/2021,Office Supplies,1066.80
30/03/2021,Meals & Entertainment,725.84
06/07/2022,Fuel,668.82
25/12/2019,Fuel,654.98
10/08/2022,Rent,189.93
05/11/2019,Utilities,1407.70
22/07/2019,Utilities,1753.07
01/07/2019,Salaries & Benefits,410.20
24/05/2022,Fuel,1129.57
12/02/2020,Office Supplies,1130.04
12/01/2021,Fuel,1441.91
05/01/2021,Rent,733.65
25/12/2019,Rent,1594.60
12/01/2022,Rent,1616.91
28/04/2021,Utilities,707.18
06/08/2020,Meals & Entertainment,1062.24
15/10/2022,Rent,1512.84
29/09/2020,Salaries & Benefits,589.50
08/05/2022,Meals & Entertainment,981.04
29/11/2022,Vehicle Lease,1003.98
24/04/2020,Meals & Entertainment,1778.46
16/03/2020,Salaries & Benefits,522.54
17/04/2021,Utilities,775.49
23/10/2020,Fuel,1751.02
21/04/2020,Office Supplies,129.65
15/02/2021,Salaries & Benefits,103.60
20/03/2021,Rent,138.69
19/12/2020,Meals & Entertainment,241.57
20/11/2019,Office Supplies,1203.80
02/10/2020,Fuel,521.11
19/02/2022,Office Supplies,1700.22
11/01/2022,Salaries & Benefits,1480.66
22/10/2019,Utilities,807.33
28/06/2021,Rent,1484.06
23/06/2021,Utilities,439.74
09/01/2021,Vehicle Lease,109.78
28/10/2020,Salaries & Benefits,1623.91
04/05/2022,Utilities,1520.55
09/05/2021,Meals & Entertainment,813.06
30/03/2020,Office Supplies,109.81
27/01/2019,Meals & Entertainment,641.84
02/11/2019,Rent,775.41
14/12/2022,Vehicle Lease,1184.01
26/12/2021,Office Supplies,1690.36
17/02/2022,Office Supplies,373.23
03/06/2021,Rent,1306.33
28/09/2019,Fuel,190.94
08/08/2022,Fuel,1091.09
08/10/2020,Salaries & Benefits,1602.26
31/03/2019,Fuel,553.99
15/08/2022,Salaries & Benefits,226.50
17/06/2022,Vehicle Lease,194.79
07/03/2019,Office Supplies,115.36
02/06/2020,Salaries & Benefits,918.74
29/08/2020,Fuel,465.58
21/11/2021,Vehicle Lease,97.20
25/11/2022,Rent,696.98
17/02/2022,Meals & Entertainment,1246.52
12/04/2020,Salaries & Benefits,719.95
05/03/2022,Fuel,1565.79
15/01/2021,Fuel,374.90
09/11/2019,Office Supplies,184.78
24/07/2022,Vehicle Lease,527.80
24/07/2022,Meals & Entertainment,249.82
09/08/2020,Vehicle Lease,1355.46
20/09/2020,Vehicle Lease,1366.87
09/05/2021,Vehicle Lease,1174.00
21/12/2020,Fuel,813.66
28/01/2020,Office Supplies,1178.20
19/12/2022,Office Supplies,1598.57
20/07/2019,Vehicle Lease,1125.93
21/01/2019,Vehicle Lease,508.73
01/08/2019,Vehicle Lease,1709.18
30/03/2021,Office Supplies,235.83
15/05/2021,Meals & Entertainment,688.99
21/12/2022,Vehicle Lease,709.90
06/05/2019,Salaries & Benefits,1338.65
03/02/2019,Office Supplies,1700.10
24/04/2019,Salaries & Benefits,1166.77
09/07/2022,Office Supplies,590.03
29/09/2021,Office Supplies,1273.52
10/02/2019,Rent,219.34
03/06/2019,Office Supplies,197.39
19/02/2022,Fuel,1216.04
24/05/2020,Utilities,319.73
21/07/2020,Fuel,938.78
03/10/2019,Salaries & Benefits,125.02
12/04/2021,Rent,1668.91
25/02/2019,Rent,1309.90
01/03/2022,Meals & Entertainment,1379.93
17/04/2020,Vehicle Lease,1305.43
07/12/2021,Rent,193.85
24/06/2021,Rent,1557.74
05/10/2021,Office Supplies,1241.97
04/12/2022,Salaries & Benefits,152.45
25/04/2019,Rent,1610.93
20/01/2020,Vehicle Lease,329.77
10/12/2019,Utilities,1061.89
05/05/2021,Office Supplies,1336.89
03/02/2020,Salaries & Benefits,1509.92
25/03/2019,Salaries & Benefits,1772.29
04/09/2019,Office Supplies,1398.25
11/02/2022,Salaries & Benefits,697.53
14/03/2019,Vehicle Lease,940.36
05/07/2020,Rent,1273.44
02/07/2020,Meals & Entertainment,429.60
27/12/2019,Office Supplies,745.33
19/05/2019,Salaries & Benefits,1041.33
24/02/2021,Meals & Entertainment,776.63
28/04/2021,Meals & Entertainment,1046.64
30/12/2022,Salaries & Benefits,1153.26
13/02/2021,Salaries & Benefits,611.90
21/11/2021,Office Supplies,973.26
26/02/2021,Salaries & Benefits,571.33
02/04/2022,Rent,1169.30
12/12/2021,Office Supplies,1709.31
26/08/2020,Office Supplies,1266.78
23/12/2020,Utilities,1452.98
13/12/2019,Salaries & Benefits,1591.13
16/11/2019,Utilities,163.29
26/05/2019,Salaries & Benefits,1010.27
23/11/2021,Rent,484.08
05/02/2021,Office Supplies,1445.23
01/04/2022,Office Supplies,176.16
27/08/2019,Office Supplies,497.67
28/09/2021,Fuel,1320.63
24/11/2020,Utilities,267.03
03/08/2021,Rent,662.27
18/12/2020,Office Supplies,1012.94
26/09/2019,Office Supplies,917.96
06/03/2021,Rent,662.56
04/01/2021,Vehicle Lease,740.55
20/09/2022,Rent,1126.82
30/04/2020,Vehicle Lease,1554.68
08/02/2022,Office Supplies,760.93
19/07/2020,Meals & Entertainment,1222.20
26/11/2021,Rent,1576.16
23/12/2020,Utilities,1113.45
16/09/2021,Rent,763.05
27/02/2022,Vehicle Lease,126.42
18/07/2020,Fuel,330.10
18/02/2020,Office Supplies,969.82
06/10/2020,Utilities,148.97
29/06/2022,Meals & Entertainment,1308.07
11/05/2022,Meals & Entertainment,1182.16
02/09/2022,Salaries & Benefits,1367.26
05/02/2019,Rent,93.70
05/02/2022,Salaries & Benefits,405.49
04/10/2022,Office Supplies,230.38
27/04/2021,Rent,516.36
27/07/2020,Office Supplies,491.56
15/05/2022,Salaries & Benefits,352.01
25/08/2019,Fuel,1668.59
10/07/2020,Rent,1700.84
19/10/2019,Vehicle Lease,1569.98
12/08/2019,Utilities,264.48
18/06/2019,Office Supplies,520.68
20/06/2021,Utilities,1535.07
22/04/2020,Fuel,733.78
09/10/2020,Fuel,203.02
11/03/2021,Rent,1076.37
06/04/2021,Rent,430.98
21/10/2021,Meals & Entertainment,566.79
11/02/2020,Salaries & Benefits,339.59
18/08/2019,Vehicle Lease,1449.73
21/05/2021,Fuel,1421.41
04/02/2019,Office Supplies,1540.52
22/04/2022,Vehicle Lease,1266.74
07/08/2020,Rent,213.25
28/12/2021,Rent,1293.03
13/10/2022,Salaries & Benefits,477.95
03/07/2019,Fuel,1616.20
10/05/2021,Meals & Entertainment,816.36
28/06/2022,Vehicle Lease,380.59
28/07/2021,Office Supplies,688.13
18/02/2019,Rent,286.21
07/05/2019,Salaries & Benefits,1442.15
13/01/2021,Rent,1079.49
02/03/2022,Salaries & Benefits,1513.71
08/02/2022,Meals & Entertainment,860.64
29/06/2022,Rent,1040.84
13/12/2021,Salaries & Benefits,814.66
11/04/2021,Office Supplies,1573.85
27/10/2022,Fuel,1195.64
07/05/2021,Meals & Entertainment,1210.66
18/09/2020,Fuel,1254.44
02/08/2020,Utilities,795.26
27/10/2021,Meals & Entertainment,981.71
19/01/2021,Office Supplies,1111.65
14/03/2022,Salaries & Benefits,1334.25
29/05/2019,Rent,1721.20
24/01/2022,Salaries & Benefits,1060.03
23/06/2021,Office Supplies,826.48
28/03/2021,Office Supplies,460.12
22/12/2020,Salaries & Benefits,645.31
30/01/2021,Utilities,1658.37
23/01/2019,Fuel,179.51
07/04/2022,Salaries & Benefits,910.42
19/08/2022,Rent,1802.04
31/05/2020,Salaries & Benefits,1424.84
02/07/2021,Salaries & Benefits,154.98
01/05/2019,Meals & Entertainment,1544.55
31/03/2022,Vehicle Lease,1780.43
20/03/2019,Vehicle Lease,991.96
30/10/2021,Vehicle Lease,304.20
13/01/2020,Rent,1042.02
11/04/2022,Salaries & Benefits,108.10
19/09/2021,Office Supplies,1239.68
03/06/2019,Office Supplies,1809.33
30/03/2022,Rent,477.11
06/09/2021,Fuel,1235.90
18/10/2019,Office Supplies,738.21
16/06/2022,Salaries & Benefits,1098.42
01/03/2021,Salaries & Benefits,1775.69
12/01/2022,Fuel,1462.50
26/09/2020,Fuel,517.98
22/02/2020,Vehicle Lease,898.00
22/10/2020,Fuel,1174.56
05/09/2020,Fuel,851.58
28/05/2022,Salaries & Benefits,226.38
21/01/2021,Salaries & Benefits,1667.50
27/06/2019,Office Supplies,1357.74
17/09/2021,Rent,946.80
03/12/2020,Salaries & Benefits,987.32
12/05/2022,Salaries & Benefits,1569.87
12/05/2020,Rent,681.34
05/06/2020,Office Supplies,1596.74
28/11/2020,Rent,145.45
19/08/2019,Rent,785.75
13/10/2019,Utilities,308.23
01/03/2022,Rent,1478.46
10/08/2019,Salaries & Benefits,1470.13
03/09/2022,Salaries & Benefits,1734.42
16/10/2020,Rent,96.23
12/09/2020,Meals & Entertainment,378.38
19/01/2019,Utilities,940.71
13/11/2022,Salaries & Benefits,1618.65
01/05/2022,Fuel,1464.25
16/03/2022,Meals & Entertainment,1066.26
06/05/2019,Utilities,270.27
25/11/2020,Utilities,320.34
01/05/2020,Meals & Entertainment,127.82
10/07/2020,Salaries & Benefits,169.35
18/08/2021,Office Supplies,1092.80
03/07/2022,Meals & Entertainment,1509.58
11/09/2022,Salaries & Benefits,606.83
20/02/2019,Utilities,693.72
24/06/2020,Salaries & Benefits,1755.10
11/07/2020,Rent,1644.06
29/11/2022,Vehicle Lease,1395.56
08/04/2022,Salaries & Benefits,1475.76
06/04/2021,Salaries & Benefits,1497.02
01/06/2019,Fuel,211.27
07/12/2021,Salaries & Benefits,619.91
07/05/2019,Vehicle Lease,1156.92
23/06/2019,Office Supplies,944.60
24/02/2020,Office Supplies,1158.79
16/08/2021,Meals & Entertainment,803.40
06/01/2020,Fuel,1078.84
28/12/2020,Utilities,1557.87
25/01/2021,Office Supplies,1008.20
20/05/2021,Salaries & Benefits,754.36
23/07/2020,Utilities,845.11
09/12/2020,Salaries & Benefits,644.63
08/02/2020,Utilities,703.16
16/01/2021,Vehicle Lease,639.93
17/02/2021,Fuel,345.48
10/12/2019,Salaries & Benefits,960.44
30/09/2019,Fuel,1326.71
15/12/2022,Rent,1708.39
24/11/2020,Rent,575.52
08/09/2020,Office Supplies,308.99
04/05/2020,Fuel,316.91
06/03/2019,Fuel,1805.30
31/07/2019,Meals & Entertainment,1218.18
17/09/2019,Salaries & Benefits,1570.61
02/03/2019,Fuel,1393.14
05/01/2019,Salaries & Benefits,1471.07
10/01/2020,Salaries & Benefits,763.97
13/10/2020,Vehicle Lease,438.36
24/01/2019,Vehicle Lease,1365.60
07/02/2019,Rent,362.59
18/07/2022,Utilities,1378.38
01/08/2022,Utilities,366.29
11/11/2020,Salaries & Benefits,734.33
12/03/2022,Vehicle Lease,1607.74
02/01/2021,Office Supplies,1025.83
10/08/2019,Utilities,1090.11
13/11/2022,Office Supplies,608.66
04/03/2021,Office Supplies,1563.03
30/04/2020,Rent,1619.32
11/01/2021,Meals & Entertainment,651.92
19/06/2019,Office Supplies,538.68
07/05/2021,Rent,1528.52
03/02/2019,Salaries & Benefits,938.02
06/11/2022,Fuel,1178.12
21/11/2021,Rent,1778.96
01/10/2020,Rent,1297.16
10/09/2021,Fuel,672.25
04/05/2022,Utilities,730.86
19/11/2022,Meals & Entertainment,1492.27
17/06/2022,Rent,1179.97
20/04/2019,Meals & Entertainment,164.20
24/01/2021,Salaries & Benefits,1321.52
15/08/2021,Office Supplies,1083.39
27/11/2022,Rent,1192.85
28/05/2020,Utilities,1061.08
21/11/2021,Salaries & Benefits,1390.46
17/01/2022,Vehicle Lease,698.74
09/11/2021,Office Supplies,1704.85
24/08/2022,Utilities,133.19
12/07/2021,Rent,1516.49
08/02/2021,Office Supplies,709.51
03/03/2021,Fuel,1564.03
23/04/2022,Office Supplies,1773.38
29/07/2021,Rent,1608.10
08/03/2021,Utilities,296.50
21/10/2022,Meals & Entertainment,681.12
01/06/2022,Salaries & Benefits,1109.91
07/04/2022,Salaries & Benefits,1747.77
28/06/2021,Vehicle Lease,330.06
06/02/2019,Rent,912.38
02/07/2021,Salaries & Benefits,95.83
26/03/2022,Vehicle Lease,657.18
24/11/2019,Meals & Entertainment,216.97
16/03/2020,Salaries & Benefits,1029.41
03/05/2021,Vehicle Lease,299.93
17/05/2019,Utilities,660.63
27/04/2020,Fuel,592.68
18/05/2020,Office Supplies,1762.89
20/10/2019,Fuel,1415.29
14/05/2022,Meals & Entertainment,1532.07
04/07/2020,Rent,1340.17
13/03/2022,Fuel,107.37
30/08/2021,Fuel,1532.34
14/04/2019,Office Supplies,955.37
28/10/2020,Office Supplies,114.85
01/08/2019,Office Supplies,1381.06
28/04/2020,Office Supplies,1110.11
31/10/2021,Rent,1573.20
23/03/2020,Office Supplies,374.31
06/05/2020,Rent,1557.43
06/09/2020,Utilities,377.14
25/11/2019,Utilities,824.04
07/10/2020,Salaries & Benefits,536.01
27/08/2019,Fuel,1038.74
09/02/2022,Rent,918.95
27/03/2022,Meals & Entertainment,1102.69
24/09/2019,Fuel,1268.02
25/11/2021,Vehicle Lease,1515.48
10/08/2019,Utilities,1317.14
10/12/2019,Fuel,1674.80
02/10/2021,Rent,408.92
12/07/2022,Rent,977.94
25/09/2019,Fuel,102.16
26/02/2019,Meals & Entertainment,1084.30
06/09/2021,Fuel,529.76
05/01/2020,Office Supplies,714.98
05/12/2021,Salaries & Benefits,733.44
27/10/2021,Rent,790.54
22/11/2020,Rent,1152.95
04/11/2022,Salaries & Benefits,728.58
25/08/2020,Vehicle Lease,1700.31
14/09/2019,Vehicle Lease,1469.65
22/06/2019,Rent,633.03
09/02/2020,Utilities,284.59
14/11/2019,Office Supplies,889.11
26/03/2021,Fuel,435.41
20/08/2020,Vehicle Lease,536.55
02/04/2020,Utilities,596.79
25/08/2020,Rent,351.92
18/02/2019,Rent,485.84
02/03/2022,Fuel,906.81
13/11/2022,Salaries & Benefits,1669.71
24/05/2021,Rent,1243.34
30/03/2021,Utilities,1159.61
25/07/2022,Vehicle Lease,627.49
21/11/2021,Salaries & Benefits,729.52
17/10/2022,Salaries & Benefits,1679.63
28/05/2021,Rent,582.87
27/01/2019,Utilities,869.68
18/08/2021,Rent,203.54
07/02/2020,Salaries & Benefits,984.34
26/12/2019,Utilities,1600.28
08/01/2022,Fuel,272.73
25/03/2020,Salaries & Benefits,177.39
18/05/2022,Fuel,1236.74
11/04/2019,Utilities,1117.31
06/02/2020,Meals & Entertainment,764.39
22/10/2022,Fuel,675.31
21/02/2019,Rent,1401.49
02/12/2019,Salaries & Benefits,1040.43
05/06/2020,Salaries & Benefits,474.16
14/06/2019,Fuel,401.42
23/11/2020,Rent,721.97
30/05/2021,Vehicle Lease,951.81
08/05/2021,Salaries & Benefits,1799.07
23/05/2022,Salaries & Benefits,1372.44
14/03/2020,Rent,1407.23
17/07/2019,Vehicle Lease,1606.51
18/07/2021,Salaries & Benefits,1688.39
07/11/2020,Utilities,1195.94
14/10/2021,Meals & Entertainment,1754.25
04/06/2021,Utilities,1036.65
16/05/2019,Office Supplies,1579.54
14/07/2019,Office Supplies,154.64
29/03/2021,Utilities,1325.00
04/01/2019,Meals & Entertainment,1629.67
12/10/2022,Meals & Entertainment,1125.17
12/02/2019,Office Supplies,515.23
14/05/2022,Utilities,1611.99
16/02/2020,Vehicle Lease,1177.79
27/04/2020,Office Supplies,298.85
30/09/2022,Utilities,1089.79
19/11/2020,Salaries & Benefits,698.03
07/09/2022,Salaries & Benefits,871.46
01/10/2020,Salaries & Benefits,129.51
15/11/2021,Meals & Entertainment,1556.30
20/12/2022,Fuel,1136.81
09/07/2021,Fuel,1135.26
16/09/2020,Office Supplies,1664.68
11/05/2021,Rent,1435.27
08/08/2022,Meals & Entertainment,508.06
10/11/2022,Office Supplies,1020.60
08/12/2019,Salaries & Benefits,142.31
14/04/2019,Vehicle Lease,97.21
28/05/2021,Office Supplies,128.08
25/07/2019,Utilities,1809.91
24/04/2019,Vehicle Lease,1519.58
04/12/2019,Office Supplies,1151.08
29/05/2021,Rent,617.48
29/03/2019,Meals & Entertainment,319.38
10/12/2020,Office Supplies,316.39
02/12/2022,Rent,1292.16
01/05/2021,Meals & Entertainment,555.76
24/01/2020,Meals & Entertainment,474.66
24/11/2021,Fuel,914.40
22/12/2021,Fuel,169.37
15/02/2020,Office Supplies,166.88
18/01/2020,Fuel,1285.88
11/11/2022,Office Supplies,1100.91
01/04/2021,Rent,1420.09
18/07/2020,Vehicle Lease,251.61
17/08/2021,Fuel,1587.84
13/05/2022,Office Supplies,1741.81
04/05/2022,Utilities,1076.37
12/02/2019,Fuel,171.79
23/01/2020,Salaries & Benefits,1751.18
11/10/2019,Vehicle Lease,391.83
24/12/2020,Utilities,336.37
16/10/2019,Fuel,1616.56
17/02/2021,Meals & Entertainment,734.35
04/07/2020,Meals & Entertainment,545.69
03/03/2021,Salaries & Benefits,586.60
20/06/2019,Fuel,1574.32
03/06/2022,Meals & Entertainment,762.94
18/06/2019,Meals & Entertainment,104.15
23/03/2020,Vehicle Lease,1537.58
22/03/2022,Fuel,1124.14
06/05/2019,Rent,781.80
04/12/2019,Salaries & Benefits,518.92
23/01/2021,Fuel,438.37
12/02/2020,Rent,1005.63
10/12/2022,Office Supplies,416.67
15/04/2019,Meals & Entertainment,594.24
31/03/2019,Salaries & Benefits,1127.18
26/09/2019,Vehicle Lease,943.03
12/05/2021,Office Supplies,252.75
25/09/2019,Fuel,929.97
03/06/2021,Salaries & Benefits,572.61
29/09/2021,Office Supplies,1016.12
06/01/2019,Rent,800.24
22/01/2022,Office Supplies,1340.36
09/11/2020,Meals & Entertainment,522.10
19/08/2022,Meals & Entertainment,165.44
23/02/2022,Salaries & Benefits,952.44
31/01/2022,Meals & Entertainment,1284.92
15/01/2019,Utilities,1010.69
12/10/2022,Office Supplies,211.66
13/03/2019,Fuel,606.80
19/12/2021,Vehicle Lease,315.75
29/07/2020,Fuel,1529.40
24/02/2022,Salaries & Benefits,1474.81
13/12/2020,Salaries & Benefits,1086.45
15/11/2022,Vehicle Lease,1533.44
20/11/2019,Vehicle Lease,1217.65
02/10/2020,Vehicle Lease,1529.42
05/12/2022,Rent,586.82
06/10/2020,Rent,871.96
09/01/2021,Salaries & Benefits,1060.96
17/10/2022,Utilities,195.01
09/10/2020,Salaries & Benefits,1241.37
25/12/2020,Rent,1546.59
12/10/2022,Salaries & Benefits,591.71
13/03/2019,Rent,1348.05
17/09/2021,Fuel,1521.38
30/06/2021,Salaries & Benefits,816.68
25/11/2020,Vehicle Lease,403.98
07/07/2021,Vehicle Lease,722.58
23/05/2020,Meals & Entertainment,1664.58
24/02/2022,Fuel,977.55
26/12/2019,Fuel,1258.83
05/10/2021,Utilities,1152.67
20/01/2019,Fuel,1568.54
11/11/2020,Vehicle Lease,1476.37
23/11/2022,Salaries & Benefits,358.37
28/11/2021,Salaries & Benefits,261.29
28/02/2021,Meals & Entertainment,588.85
28/04/2020,Vehicle Lease,456.50
28/04/2020,Salaries & Benefits,813.28
19/11/2019,Office Supplies,993.46
17/01/2021,Meals & Entertainment,1497.71
05/04/2019,Vehicle Lease,115.66
03/11/2020,Vehicle Lease,932.99
12/01/2020,Vehicle Lease,271.96
08/05/2021,Rent,280.30
30/08/2022,Salaries & Benefits,188.11
22/10/2021,Meals & Entertainment,713.57
13/08/2022,Office Supplies,444.41
11/02/2020,Utilities,1542.71
26/02/2019,Utilities,1784.11
26/03/2022,Meals & Entertainment,371.88
20/10/2022,Rent,697.49
08/03/2019,Utilities,1527.60
20/04/2020,Rent,1105.55
11/10/2021,Rent,479.43
14/02/2021,Rent,1015.41
26/04/2020,Office Supplies,549.05
02/09/2019,Fuel,770.10
12/02/2020,Utilities,544.74
13/08/2019,Utilities,890.66
13/10/2019,Meals & Entertainment,198.45
06/10/2021,Office Supplies,1408.39
14/06/2019,Office Supplies,1788.26
18/03/2019,Rent,1247.32
23/04/2019,Office Supplies,260.26
06/02/2020,Meals & Entertainment,1379.42
20/02/2020,Meals & Entertainment,582.61
04/05/2021,Rent,541.32
08/02/2022,Office Supplies,1797.27
25/03/2019,Rent,528.64
08/07/2022,Fuel,1641.96
01/09/2019,Rent,1449.34
29/03/2020,Meals & Entertainment,557.28
15/05/2021,Office Supplies,183.90
28/01/2022,Fuel,1513.28
23/09/2022,Fuel,833.52
22/03/2020,Utilities,1583.65
23/06/2022,Utilities,947.62
21/11/2022,Meals & Entertainment,983.20
22/09/2022,Rent,1339.30
29/04/2022,Salaries & Benefits,216.30
07/10/2021,Office Supplies,95.45
16/03/2019,Fuel,407.79
12/10/2019,Vehicle Lease,1749.26
08/02/2021,Rent,1386.30
27/08/2019,Utilities,620.46
08/08/2021,Fuel,817.24
09/07/2021,Vehicle Lease,146.90
10/12/2020,Rent,600.00
09/01/2022,Fuel,537.74
13/06/2019,Salaries & Benefits,372.97
04/09/2022,Vehicle Lease,864.38
18/07/2020,Office Supplies,1160.46
04/05/2022,Vehicle Lease,866.51
30/08/2020,Vehicle Lease,1090.83
