Date,Expense Category,Amount
07/29/2019,Office Supplies,1600.81
03/19/2020,Vehicle Lease,1404.71
08/15/2020,Salaries & Benefits,1492.09
02/27/2021,Salaries & Benefits,1565.59
01/09/2020,Meals & Entertainment,599.15
06/04/2019,Meals & Entertainment,530.51
01/12/2019,Fuel,1089.04
02/18/2022,Salaries & Benefits,899.09
05/30/2020,Rent,769.07
10/02/2020,Fuel,1306.69
04/12/2022,Salaries & Benefits,867.56
09/05/2021,Fuel,1380.45
06/16/2019,Vehicle Lease,753.11
09/17/2019,Utilities,1281.48
01/22/2022,Salaries & Benefits,1565.67
04/11/2019,Meals & Entertainment,1820.38
06/02/2020,Vehicle Lease,1765.30
07/10/2022,Salaries & Benefits,1994.23
01/21/2019,Utilities,1786.20
06/05/2020,Vehicle Lease,1352.41
06/25/2021,Rent,1713.03
01/12/2019,Utilities,1240.48
12/03/2020,Vehicle Lease,1011.92
04/15/2021,Vehicle Lease,1951.30
03/14/2022,Rent,144.07
11/30/2019,Vehicle Lease,1226.77
12/26/2019,Rent,667.89
07/23/2021,Meals & Entertainment,429.18
05/20/2021,Utilities,498.52
08/03/2020,Fuel,1150.57
11/15/2020,Meals & Entertainment,1245.98
09/02/2020,Meals & Entertainment,1297.26
12/26/2021,Salaries & Benefits,1718.76
01/22/2019,Meals & Entertainment,800.40
09/28/2021,Vehicle Lease,523.86
03/26/2019,Meals & Entertainment,1746.43
08/17/2021,Salaries & Benefits,1815.89
11/26/2020,Office Supplies,1710.57
08/18/2021,Utilities,1625.14
11/18/2020,Meals & Entertainment,817.64
04/17/2019,Meals & Entertainment,1825.24
03/14/2019,Vehicle Lease,1001.72
10/20/2021,Meals & Entertainment,495.66
05/25/2021,Salaries & Benefits,284.11
10/04/2021,Meals & Entertainment,1041.64
07/25/2022,Salaries & Benefits,1258.69
07/03/2019,Fuel,876.47
06/21/2021,Utilities,1307.59
04/24/2021,Salaries & Benefits,414.87
11/17/2022,Vehicle Lease,1670.83
04/16/2020,Meals & Entertainment,1369.89
03/05/2022,Fuel,490.79
08/06/2020,Office Supplies,878.16
08/23/2020,Utilities,143.25
05/08/2022,Vehicle Lease,790.51
01/15/2019,Fuel,1408.48
12/22/2020,Meals & Entertainment,186.56
06/07/2022,Rent,985.33
10/26/2019,Meals & Entertainment,729.08
09/20/2021,Rent,1094.84
03/19/2021,Salaries & Benefits,351.08
01/06/2019,Meals & Entertainment,1893.90
10/13/2020,Office Supplies,1580.54
04/25/2020,Office Supplies,1350.70
09/25/2020,Salaries & Benefits,1041.29
12/31/2019,Office Supplies,347.01
12/05/2022,Salaries & Benefits,1891.17
06/06/2019,Utilities,1082.24
06/30/2020,Salaries & Benefits,751.93
01/13/2022,Salaries & Benefits,1964.37
11/24/2021,Rent,1597.95
09/07/2022,Vehicle Lease,557.23
03/10/2021,Meals & Entertainment,1919.86
05/12/2020,Rent,207.84
10/22/2022,Utilities,1000.95
06/20/2020,Office Supplies,446.49
03/28/2020,Vehicle Lease,794.75
05/16/2020,Meals & Entertainment,1338.92
07/10/2021,Office Supplies,342.97
06/03/2019,Rent,1274.47
03/24/2022,Salaries & Benefits,691.34
05/27/2019,Vehicle Lease,986.00
12/23/2020,Vehicle Lease,796.16
10/15/2022,Utilities,1758.93
05/25/2019,Meals & Entertainment,1278.23
02/04/2022,Vehicle Lease,1060.77
07/12/2022,Salaries & Benefits,639.62
05/13/2021,Rent,1840.79
01/25/2019,Utilities,1792.94
05/07/2020,Office Supplies,176.31
01/14/2019,Fuel,718.06
12/10/2020,Meals & Entertainment,512.79
02/14/2020,Rent,1289.35
10/13/2019,Salaries & Benefits,528.65
06/15/2019,Meals & Entertainment,1532.76
07/04/2019,Rent,551.17
10/22/2022,Fuel,606.93
04/09/2021,Utilities,109.20
07/22/2022,Office Supplies,481.96
01/22/2019,Office Supplies,1188.00
09/15/2022,Utilities,1114.05
09/13/2019,Rent,196.52
06/29/2020,Office Supplies,923.56
08/08/2021,Meals & Entertainment,1958.45
04/15/2022,Utilities,103.15
12/06/2020,Meals & Entertainment,1928.52
10/02/2020,Fuel,106.64
12/16/2020,Office Supplies,790.84
06/20/2019,Fuel,1598.84
02/29/2020,Rent,1507.49
04/12/2019,Utilities,1256.80
10/03/2021,Meals & Entertainment,1927.79
08/19/2021,Vehicle Lease,460.06
11/16/2021,Utilities,889.00
05/30/2020,Salaries & Benefits,166.41
09/11/2022,Rent,1603.88
04/22/2019,Office Supplies,728.85
09/22/2022,Office Supplies,308.67
04/05/2020,Salaries & Benefits,204.66
03/23/2020,Rent,1522.00
06/11/2020,Utilities,891.41
09/05/2019,Office Supplies,1945.61
10/14/2022,Rent,1111.11
03/30/2022,Salaries & Benefits,440.80
11/15/2019,Fuel,698.21
06/20/2020,Utilities,1624.49
06/16/2019,Rent,718.93
11/11/2022,Fuel,115.14
05/13/2020,Vehicle Lease,106.86
09/15/2022,Office Supplies,1509.91
04/30/2022,Rent,401.15
04/07/2020,Fuel,1254.18
01/07/2021,Meals & Entertainment,913.50
08/03/2022,Utilities,411.44
01/02/2021,Fuel,1154.65
08/18/2021,Office Supplies,748.90
07/15/2020,Office Supplies,1762.99
04/07/2021,Utilities,849.26
11/13/2021,Meals & Entertainment,800.62
02/16/2020,Fuel,844.40
02/09/2020,Vehicle Lease,522.61
12/15/2022,Vehicle Lease,462.44
05/02/2019,Utilities,1365.01
06/01/2022,Rent,1364.65
04/17/2022,Fuel,1988.34
04/25/2022,Office Supplies,1511.61
09/19/2020,Utilities,270.62
01/04/2022,Salaries & Benefits,574.91
02/01/2021,Meals & Entertainment,1413.44
10/11/2021,Meals & Entertainment,862.49
04/10/2022,Office Supplies,250.54
08/08/2020,Fuel,293.51
05/22/2022,Utilities,818.87
12/31/2019,Meals & Entertainment,494.84
05/23/2019,Rent,1040.43
08/07/2021,Fuel,1612.34
04/22/2020,Salaries & Benefits,128.33
03/24/2022,Salaries & Benefits,1755.40
10/15/2021,Meals & Entertainment,341.58
08/10/2021,Fuel,249.86
03/02/2022,Utilities,1528.68
12/08/2021,Utilities,1774.64
01/13/2019,Meals & Entertainment,398.98
02/05/2019,Salaries & Benefits,146.57
02/22/2021,Vehicle Lease,1050.15
11/26/2021,Meals & Entertainment,140.78
11/14/2021,Vehicle Lease,1872.45
12/23/2021,Utilities,717.23
04/07/2020,Office Supplies,1884.72
11/03/2020,Rent,1127.26
06/16/2019,Fuel,346.61
02/23/2019,Utilities,538.10
11/19/2019,Rent,1134.42
02/09/2019,Vehicle Lease,1797.24
01/31/2020,Vehicle Lease,757.00
07/27/2019,Meals & Entertainment,436.90
05/09/2019,Rent,278.08
03/11/2019,Office Supplies,1936.17
03/12/2019,Meals & Entertainment,935.55
05/15/2019,Fuel,764.01
08/12/2021,Fuel,222.01
06/27/2021,Office Supplies,490.90
11/22/2021,Meals & Entertainment,579.99
04/05/2021,Salaries & Benefits,587.32
12/20/2020,Salaries & Benefits,1567.11
07/21/2021,Utilities,1066.53
02/26/2019,Vehicle Lease,1199.00
11/08/2022,Office Supplies,1377.16
09/04/2022,Vehicle Lease,756.67
11/21/2021,Rent,503.85
08/16/2019,Meals & Entertainment,1685.77
09/03/2022,Fuel,114.91
10/07/2019,Office Supplies,422.97
04/18/2022,Meals & Entertainment,1010.47
02/12/2022,Fuel,1304.76
09/17/2022,Salaries & Benefits,784.36
03/21/2020,Office Supplies,1250.80
02/06/2019,Rent,1987.33
04/07/2019,Meals & Entertainment,1039.85
06/15/2020,Utilities,217.65
01/12/2020,Meals & Entertainment,950.37
06/19/2020,Rent,340.99
09/27/2019,Utilities,1796.10
09/30/2022,Vehicle Lease,1167.65
11/30/2022,Meals & Entertainment,133.82
10/27/2022,Vehicle Lease,785.44
04/09/2019,Meals & Entertainment,1757.55
07/17/2020,Salaries & Benefits,1227.30
03/16/2022,Rent,312.03
10/09/2019,Fuel,696.32
04/01/2022,Office Supplies,1452.36
09/04/2019,Meals & Entertainment,1976.72
03/25/2021,Utilities,808.55
04/24/2021,Salaries & Benefits,1271.38
08/25/2020,Office Supplies,1186.05
07/26/2022,Office Supplies,1964.37
02/12/2019,Utilities,1685.55
03/30/2021,Meals & Entertainment,1996.79
06/13/2019,Office Supplies,1033.73
07/26/2021,Vehicle Lease,663.34
09/13/2020,Fuel,1322.59
02/16/2022,Utilities,235.67
09/10/2020,Meals & Entertainment,319.63
03/04/2020,Fuel,1198.96
07/21/2022,Salaries & Benefits,1778.16
04/28/2020,Fuel,1315.49
05/02/2022,Rent,271.98
06/24/2021,Vehicle Lease,1120.12
03/14/2019,Fuel,1399.44
05/11/2021,Utilities,584.23
05/23/2021,Office Supplies,1893.27
04/06/2019,Rent,1910.16
09/27/2020,Meals & Entertainment,434.02
03/15/2019,Fuel,1981.54
07/11/2021,Meals & Entertainment,938.00
02/05/2021,Rent,1944.05
08/03/2022,Utilities,1105.41
07/07/2019,Vehicle Lease,618.34
05/31/2022,Fuel,827.29
12/17/2022,Meals & Entertainment,271.43
11/05/2020,Utilities,1398.85
03/29/2022,Fuel,362.13
12/20/2022,Office Supplies,1570.27
12/24/2022,Utilities,1226.02
08/02/2020,Office Supplies,1319.70
02/15/2021,Salaries & Benefits,889.09
08/12/2019,Salaries & Benefits,581.61
11/22/2020,Vehicle Lease,1300.30
06/05/2021,Office Supplies,1425.28
10/20/2019,Utilities,380.33
04/25/2022,Utilities,1880.54
04/19/2021,Rent,1092.77
08/02/2021,Office Supplies,1496.43
05/04/2022,Meals & Entertainment,1761.67
11/13/2019,Utilities,1071.95
04/03/2022,Fuel,525.31
09/09/2020,Rent,391.77
08/16/2020,Rent,1425.50
07/13/2021,Fuel,1406.37
11/19/2022,Rent,1767.68
05/05/2020,Salaries & Benefits,464.80
10/18/2020,Utilities,890.79
04/15/2021,Utilities,175.80
01/20/2020,Utilities,324.83
02/06/2021,Utilities,1738.09
07/24/2022,Meals & Entertainment,612.78
12/04/2021,Vehicle Lease,1223.31
03/04/2020,Salaries & Benefits,1052.94
03/14/2020,Office Supplies,759.42
05/28/2021,Office Supplies,1464.67
10/17/2019,Fuel,675.69
05/13/2019,Fuel,1472.75
12/27/2020,Utilities,1754.50
06/13/2021,Utilities,485.52
03/12/2021,Utilities,488.93
07/07/2022,Meals & Entertainment,356.59
11/23/2020,Office Supplies,1173.19
01/08/2019,Vehicle Lease,1336.90
11/02/2021,Salaries & Benefits,439.81
09/28/2020,Rent,1199.84
06/14/2022,Utilities,218.89
03/23/2022,Fuel,1292.65
09/14/2021,Meals & Entertainment,1002.14
02/05/2022,Vehicle Lease,1895.11
11/19/2021,Fuel,1921.14
08/01/2022,Meals & Entertainment,751.43
07/29/2019,Utilities,1143.32
12/25/2022,Fuel,1856.92
07/09/2021,Salaries & Benefits,503.07
11/05/2020,Meals & Entertainment,408.09
09/06/2021,Rent,1506.18
08/04/2021,Office Supplies,1580.40
08/21/2019,Fuel,1190.09
07/08/2020,Fuel,617.05
02/06/2021,Fuel,1626.65
05/16/2021,Vehicle Lease,1571.72
10/25/2022,Rent,335.54
12/11/2020,Vehicle Lease,1896.34
10/22/2022,Rent,1307.38
08/19/2019,Utilities,1926.37
12/11/2020,Vehicle Lease,824.68
02/01/2022,Office Supplies,707.31
02/06/2022,Fuel,261.07
04/27/2020,Meals & Entertainment,1369.91
04/20/2021,Meals & Entertainment,1599.14
01/29/2019,Fuel,1470.40
10/27/2019,Meals & Entertainment,1029.69
11/05/2021,Office Supplies,785.04
01/25/2021,Fuel,809.39
06/30/2022,Office Supplies,845.73
03/18/2020,Meals & Entertainment,1478.27
03/22/2021,Salaries & Benefits,1991.64
03/31/2020,Salaries & Benefits,1450.48
12/04/2020,Vehicle Lease,1774.22
01/15/2022,Office Supplies,1874.32
12/12/2019,Utilities,188.18
05/03/2020,Rent,470.99
01/20/2019,Office Supplies,1079.85
02/14/2019,Vehicle Lease,586.46
07/02/2020,Rent,937.50
11/08/2022,Vehicle Lease,675.75
10/18/2020,Meals & Entertainment,734.17
06/20/2021,Office Supplies,1544.23
05/17/2020,Office Supplies,1752.25
05/24/2022,Vehicle Lease,1346.21
04/24/2022,Rent,327.08
07/01/2022,Salaries & Benefits,1459.93
09/10/2021,Salaries & Benefits,1760.65
01/27/2020,Meals & Entertainment,146.17
09/14/2019,Utilities,1089.14
09/05/2019,Meals & Entertainment,1509.46
12/17/2021,Office Supplies,804.55
07/26/2020,Salaries & Benefits,296.29
01/19/2019,Utilities,1401.10
09/10/2021,Rent,789.25
08/30/2020,Rent,548.73
11/20/2019,Office Supplies,892.69
11/24/2020,Utilities,1133.30
09/10/2021,Vehicle Lease,458.60
02/21/2021,Fuel,548.25
07/19/2019,Fuel,689.50
11/15/2020,Rent,996.65
09/12/2019,Meals & Entertainment,570.32
08/07/2019,Fuel,1793.92
07/11/2021,Utilities,1920.67
03/28/2021,Meals & Entertainment,634.29
07/12/2022,Rent,315.61
03/08/2020,Utilities,334.01
10/05/2020,Fuel,246.99
01/13/2021,Office Supplies,1281.44
12/06/2020,Salaries & Benefits,162.50
06/21/2021,Utilities,1132.64
11/02/2019,Salaries & Benefits,1714.41
01/21/2022,Meals & Entertainment,771.70
10/21/2022,Meals & Entertainment,1744.70
10/25/2019,Salaries & Benefits,1535.90
08/29/2019,Rent,1389.16
02/08/2020,Vehicle Lease,865.37
12/29/2021,Office Supplies,1931.41
01/02/2020,Salaries & Benefits,766.43
09/19/2021,Salaries & Benefits,1942.09
04/22/2021,Salaries & Benefits,1752.23
06/23/2021,Rent,127.74
11/28/2020,Salaries & Benefits,1504.24
05/23/2021,Vehicle Lease,193.49
12/11/2020,Salaries & Benefits,845.65
11/08/2020,Salaries & Benefits,1334.53
01/26/2021,Fuel,1308.98
01/08/2020,Fuel,329.53
05/05/2020,Fuel,816.98
10/29/2019,Rent,1602.91
06/28/2020,Salaries & Benefits,1073.83
08/07/2021,Vehicle Lease,1932.35
10/10/2021,Utilities,753.24
04/04/2021,Utilities,1190.14
10/04/2022,Office Supplies,1057.34
07/13/2020,Fuel,1206.01
11/13/2020,Salaries & Benefits,883.02
06/01/2019,Utilities,801.80
03/21/2021,Meals & Entertainment,760.96
11/22/2019,Rent,1413.40
11/29/2019,Fuel,1564.77
08/14/2021,Salaries & Benefits,716.75
02/03/2021,Rent,788.83
08/19/2019,Rent,1668.36
11/03/2019,Meals & Entertainment,1375.95
12/08/2020,Salaries & Benefits,1925.74
04/14/2020,Rent,474.29
11/15/2021,Fuel,1202.26
01/14/2022,Utilities,677.57
04/11/2021,Fuel,1805.05
11/24/2022,Utilities,1996.70
04/28/2019,Salaries & Benefits,1147.20
02/27/2021,Meals & Entertainment,608.08
08/24/2022,Office Supplies,812.69
02/19/2019,Fuel,410.16
03/30/2021,Salaries & Benefits,1982.59
03/15/2021,Fuel,707.26
06/11/2021,Rent,884.58
03/13/2020,Utilities,1740.74
10/26/2022,Rent,1429.89
08/14/2021,Rent,569.17
09/16/2019,Fuel,650.39
12/30/2020,Vehicle Lease,1864.85
08/20/2022,Office Supplies,264.18
07/17/2020,Fuel,1923.20
03/03/2020,Vehicle Lease,821.44
08/18/2022,Salaries & Benefits,1032.24
04/25/2021,Vehicle Lease,438.42
05/31/2022,Fuel,838.85
08/19/2021,Salaries & Benefits,1617.25
07/02/2021,Utilities,142.40
12/28/2020,Office Supplies,570.26
08/01/2020,Vehicle Lease,1787.29
11/29/2020,Meals & Entertainment,112.62
03/04/2019,Utilities,1178.51
03/21/2019,Vehicle Lease,717.89
03/06/2021,Meals & Entertainment,913.33
02/18/2022,Rent,716.77
07/29/2020,Utilities,656.51
05/27/2020,Fuel,1377.84
06/11/2019,Vehicle Lease,406.14
10/30/2022,Utilities,1228.21
05/15/2021,Meals & Entertainment,847.97
04/08/2021,Salaries & Benefits,408.36
11/02/2019,Office Supplies,1202.44
09/08/2019,Vehicle Lease,1689.87
03/16/2022,Rent,1272.13
06/29/2022,Utilities,1341.76
02/07/2022,Fuel,1460.55
11/11/2019,Meals & Entertainment,1342.38
02/15/2022,Vehicle Lease,1929.71
02/08/2019,Office Supplies,169.77
10/30/2019,Salaries & Benefits,1001.10
04/01/2019,Utilities,1457.64
10/25/2021,Utilities,1138.32
02/15/2021,Salaries & Benefits,1876.40
11/23/2021,Vehicle Lease,1093.00
10/28/2021,Meals & Entertainment,1287.53
03/13/2021,Salaries & Benefits,603.52
11/14/2019,Office Supplies,762.77
04/29/2022,Meals & Entertainment,186.31
06/17/2022,Rent,1706.09
09/14/2020,Fuel,1253.42
02/05/2022,Office Supplies,1164.38
03/15/2022,Meals & Entertainment,1306.43
02/07/2020,Fuel,1102.53
02/28/2022,Rent,1585.74
09/17/2019,Rent,1628.55
10/16/2020,Salaries & Benefits,1114.97
12/09/2022,Fuel,806.45
05/08/2022,Fuel,974.52
06/21/2022,Utilities,930.14
03/19/2019,Vehicle Lease,1993.33
05/23/2021,Salaries & Benefits,207.98
05/12/2019,Rent,1582.74
02/12/2021,Vehicle Lease,1322.68
11/14/2022,Salaries & Benefits,1556.28
07/03/2019,Vehicle Lease,148.45
02/16/2022,Meals & Entertainment,1167.64
08/23/2019,Office Supplies,271.25
07/24/2022,Salaries & Benefits,1084.56
04/06/2020,Utilities,1076.10
07/16/2022,Meals & Entertainment,924.19
02/16/2021,Office Supplies,1625.90
02/05/2022,Office Supplies,1084.14
10/15/2022,Fuel,339.45
06/23/2019,Salaries & Benefits,886.04
10/14/2019,Fuel,1430.69
07/07/2022,Meals & Entertainment,1701.02
08/28/2021,Rent,1920.40
01/27/2019,Meals & Entertainment,288.83
03/17/2020,Salaries & Benefits,1170.67
11/20/2022,Rent,1946.91
06/04/2022,Vehicle Lease,1651.80
12/03/2021,Meals & Entertainment,236.22
03/26/2019,Salaries & Benefits,1853.21
04/23/2019,Office Supplies,890.45
07/24/2020,Vehicle Lease,1133.84
11/24/2022,Vehicle Lease,764.59
10/23/2022,Office Supplies,510.57
08/04/2020,Meals & Entertainment,1490.16
12/16/2022,Fuel,1674.14
01/07/2021,Meals & Entertainment,1567.76
03/26/2021,Vehicle Lease,650.39
06/17/2019,Rent,1596.93
03/31/2021,Rent,1217.28
03/13/2020,Utilities,1034.73
12/02/2022,Salaries & Benefits,559.04
03/15/2019,Office Supplies,843.15
10/17/2020,Vehicle Lease,1600.06
02/14/2019,Utilities,1884.89
01/01/2020,Salaries & Benefits,451.67
02/26/2020,Vehicle Lease,333.32
08/26/2020,Vehicle Lease,1737.69
10/09/2020,Salaries & Benefits,390.35
09/19/2019,Vehicle Lease,916.44
12/23/2019,Meals & Entertainment,1153.54
02/17/2021,Meals & Entertainment,557.19
04/30/2021,Salaries & Benefits,428.56
05/16/2022,Vehicle Lease,1358.85
02/04/2022,Fuel,1449.05
11/27/2020,Utilities,1850.37
01/23/2019,Utilities,665.65
08/31/2021,Vehicle Lease,1749.67
07/05/2019,Rent,1413.91
03/06/2019,Utilities,683.41
05/20/2020,Rent,1575.08
12/09/2022,Fuel,498.53
06/11/2022,Vehicle Lease,1054.21
08/05/2021,Fuel,1070.80
03/24/2022,Salaries & Benefits,1613.51
02/09/2021,Vehicle Lease,1260.62
09/18/2022,Rent,1185.65
06/30/2021,Meals & Entertainment,752.10
06/16/2022,Rent,1569.92
06/14/2021,Utilities,1072.90
12/09/2021,Utilities,1981.02
03/17/2020,Vehicle Lease,1751.01
01/18/2019,Meals & Entertainment,1841.85
04/08/2021,Vehicle Lease,1070.62
01/13/2019,Vehicle Lease,917.28
04/07/2019,Utilities,367.36
12/01/2019,Rent,551.32
12/13/2022,Utilities,947.16
05/03/2021,Meals & Entertainment,1514.80
10/05/2021,Office Supplies,301.40
12/29/2021,Office Supplies,726.94
05/02/2020,Salaries & Benefits,992.48
12/05/2021,Salaries & Benefits,1274.61
02/15/2019,Meals & Entertainment,1033.78
04/21/2019,Utilities,1928.55
03/02/2022,Fuel,1171.76
06/28/2019,Meals & Entertainment,591.13
03/04/2022,Rent,1141.65
09/16/2019,Fuel,218.28
12/29/2021,Rent,763.82
09/30/2020,Fuel,1972.75
06/27/2019,Salaries & Benefits,1621.60
01/20/2019,Meals & Entertainment,277.32
11/24/2019,Rent,1193.24
02/04/2022,Salaries & Benefits,301.64
05/27/2020,Utilities,495.95
12/30/2021,Utilities,1531.18
07/01/2022,Rent,359.50
11/29/2021,Vehicle Lease,1246.77
06/15/2020,Meals & Entertainment,1213.81
04/01/2022,Salaries & Benefits,478.54
06/25/2020,Fuel,782.59
07/01/2020,Utilities,970.65
01/15/2019,Rent,1268.74
10/18/2019,Meals & Entertainment,1265.27
11/11/2019,Salaries & Benefits,1099.63
11/01/2020,Vehicle Lease,1060.34
07/29/2022,Fuel,1458.58
07/28/2022,Rent,752.46
11/04/2022,Fuel,1722.79
10/21/2020,Fuel,671.68
07/08/2020,Rent,685.11
12/08/2022,Fuel,739.81
02/20/2019,Meals & Entertainment,1094.51
05/30/2020,Meals & Entertainment,579.20
04/15/2021,Salaries & Benefits,730.36
10/28/2020,Fuel,539.69
09/17/2020,Utilities,1821.50
05/16/2020,Meals & Entertainment,906.47
12/07/2020,Office Supplies,407.49
02/09/2021,Rent,773.15
05/03/2021,Rent,1240.94
10/28/2021,Office Supplies,1279.33
09/07/2021,Fuel,1092.14
12/20/2020,Vehicle Lease,467.87
05/19/2021,Office Supplies,1591.03
08/17/2019,Vehicle Lease,1421.55
02/02/2021,Utilities,790.32
06/17/2022,Rent,148.91
02/12/2019,Rent,1530.08
09/11/2022,Salaries & Benefits,1925.14
12/07/2020,Fuel,1511.73
05/10/2022,Salaries & Benefits,1015.59
07/22/2022,Meals & Entertainment,448.23
03/20/2022,Rent,1714.31
09/06/2019,Vehicle Lease,1926.73
06/14/2019,Meals & Entertainment,1785.38
11/23/2021,Rent,669.25
05/06/2020,Salaries & Benefits,521.42
12/06/2021,Office Supplies,575.63
06/28/2020,Salaries & Benefits,318.59
09/16/2021,Fuel,1500.43
07/31/2020,Office Supplies,1192.26
01/11/2019,Utilities,1660.36
09/21/2020,Utilities,1263.81
11/01/2019,Office Supplies,118.06
03/07/2021,Salaries & Benefits,935.83
02/18/2019,Rent,1526.13
07/01/2022,Office Supplies,1890.91
08/17/2021,Fuel,1903.94
03/31/2021,Vehicle Lease,1705.68
01/17/2020,Fuel,484.03
06/09/2021,Meals & Entertainment,909.23
09/19/2021,Office Supplies,398.43
08/28/2021,Meals & Entertainment,1578.13
12/02/2021,Vehicle Lease,1301.05
10/13/2020,Office Supplies,325.80
08/19/2022,Utilities,1616.15
10/12/2020,Salaries & Benefits,1140.66
07/27/2019,Rent,1852.41
08/11/2021,Office Supplies,1821.66
11/15/2021,Office Supplies,1023.81
04/16/2021,Office Supplies,658.48
01/26/2021,Rent,1341.07
03/24/2019,Utilities,1568.26
06/10/2022,Vehicle Lease,447.00
11/08/2021,Office Supplies,1100.33
12/05/2021,Fuel,1152.75
10/14/2020,Office Supplies,1431.42
02/24/2020,Office Supplies,1575.99
06/09/2020,Utilities,105.70
01/20/2020,Salaries & Benefits,207.78
01/21/2021,Utilities,1616.01
